sid,lat,lon,org
FT_SYPS1,22.68543,120.491393333,LASS
YK_160,22.998725,120.245623333,LASS
FT1_928,23.767355,120.706251667,LASS
FT1_CCH01,22.9961933333,120.227988333,LASS
CiXin001,24.68216,121.75779,LASS
LASS-PI_014,25.080655,121.572118333,LASS
FT1_115,23.457195,120.441806667,LASS
FT_SYPS1,22.6855266667,120.491351667,LASS
YK_160,22.9986883333,120.245636667,LASS
FT1_928,23.767115,120.706403333,LASS
FT1_024,25.106535,121.732616667,LASS
CiXin001,24.6822666667,121.757771667,LASS
FT1_386,24.1816633333,120.683745,LASS
FT1_116,23.4793033333,120.449,LASS
FT1_384,24.1650266667,120.698901667,LASS
YK_160,22.9987916667,120.24564,LASS
FT1_928,23.76729,120.706286667,LASS
FT1_399,24.06375,120.534185,LASS
FT1_024,25.1061316667,121.732251667,LASS
CiXin001,24.6821233333,121.757671667,LASS
FT1_386,24.181565,120.683725,LASS
FT1_384,24.1649283333,120.698883333,LASS
FT1_115,23.4571166667,120.441761667,LASS
FT_SYPS1,22.68545,120.491281667,LASS
YK_160,22.9988066667,120.245575,LASS
FT1_928,23.7672783333,120.706356667,LASS
FT1_399,24.06345,120.533996667,LASS
FT1_395,24.124135,120.566786667,LASS
FT1_024,25.1064966667,121.732445,LASS
FT1_CCH01,22.9962233333,120.228076667,LASS
FT1_384,24.165015,120.698825,LASS
FT_SYPS1,22.685455,120.49133,LASS
YK_160,22.998865,120.245506667,LASS
FT1_928,23.7673433333,120.706351667,LASS
FT1_399,24.0638116667,120.534031667,LASS
FT1_024,25.10676,121.733075,LASS
FT1_CCH01,22.99621,120.228206667,LASS
FT1_386,24.1815666667,120.683746667,LASS
FT1_384,24.1649233333,120.698846667,LASS
FT1_384,24.164845,120.69877,LASS
FT_SYPS1,22.68533,120.491331667,LASS
YK_160,22.9987516667,120.24545,LASS
FT1_928,23.7673316667,120.70632,LASS
FT1_399,24.0635583333,120.533698333,LASS
FT1_024,25.10643,121.732623333,LASS
FT1_CCH01,22.9962016667,120.228103333,LASS
FT_SYPS1,22.6853683333,120.491366667,LASS
YK_160,22.9988016667,120.245355,LASS
FT1_928,23.7672683333,120.706448333,LASS
FT1_024,25.1064883333,121.73274,LASS
FT1_399,24.06344,120.533481667,LASS
FT1_CCH01,22.99622,120.227986667,LASS
FT1_386,24.1814516667,120.68377,LASS
FT1_384,24.164735,120.698823333,LASS
FT1_966,24.175375,120.668573333,LASS
FT_SYPS1,22.6854366667,120.491446667,LASS
YK_160,22.99879,120.245418333,LASS
FT1_928,23.7673133333,120.706365,LASS
FT1_024,25.10659,121.732818333,LASS
FT1_CCH01,22.996135,120.227941667,LASS
FT1_386,24.1811983333,120.683796667,LASS
FT1_116,23.47921,120.449005,LASS
FT1_384,24.1647516667,120.698885,LASS
FT1_115,23.457215,120.441756667,LASS
FT1_966,24.17547,120.668783333,LASS
YK_160,22.9987466667,120.245506667,LASS
YK_160,22.9987816667,120.24554,LASS
FT1_024,25.10635,121.732558333,LASS
FT1_395,24.12411,120.566685,LASS
FT1_386,24.18108,120.683755,LASS
FT1_384,24.1646083333,120.698911667,LASS
FT1_966,24.1755033333,120.668951667,LASS
YK_160,22.998765,120.245601667,LASS
FT1_386,24.1811716667,120.68379,LASS
FT1_398,24.123995,120.632203333,LASS
LASS-PI_014,25.0805566667,121.57215,LASS
FT1_384,24.164605,120.6989,LASS
FT1_115,23.4572016667,120.441856667,LASS
FT1_966,24.1765916667,120.670776667,LASS
YK_160,22.9987616667,120.2457,LASS
FT1_CCH01,22.996195,120.228013333,LASS
CiXin001,24.6820383333,121.757738333,LASS
FT1_386,24.18121,120.683885,LASS
LASS-PI_014,25.0806666667,121.572141667,LASS
FT1_384,24.16471,120.698901667,LASS
FT1_966,24.1754766667,120.668935,LASS
YK_160,22.99873,120.245636667,LASS
FT1_928,23.7672116667,120.706378333,LASS
FT1_386,24.1811166667,120.683838333,LASS
LASS-PI_014,25.0806083333,121.571955,LASS
FT1_115,23.4571333333,120.441786667,LASS
FT1_384,24.1647816667,120.698908333,LASS
FT1_966,24.1773116667,120.673483333,LASS
YK_160,22.9987983333,120.245581667,LASS
FT1_399,24.063745,120.534591667,LASS
FT1_CCH01,22.9961333333,120.2281,LASS
CiXin001,24.6820216667,121.757748333,LASS
LASS-PI_014,25.0805983333,121.572168333,LASS
FT1_116,23.4791566667,120.449026667,LASS
FT1_115,23.45704,120.441755,LASS
FT1_966,24.1778766667,120.675171667,LASS
YK_160,22.9987666667,120.245673333,LASS
FT1_928,23.7673066667,120.706358333,LASS
FT1_399,24.064155,120.534696667,LASS
FT1_CCH01,22.9960583333,120.22815,LASS
CiXin001,24.6820933333,121.757758333,LASS
FT1_386,24.1810916667,120.683741667,LASS
LASS-PI_014,25.0805983333,121.572175,LASS
FT1_966,24.1771016667,120.673656667,LASS
FT1_384,24.1648616667,120.69887,LASS
YK_160,22.9987233333,120.245606667,LASS
FT1_928,23.7672716667,120.706453333,LASS
FT1_399,24.063195,120.534281667,LASS
FT1_CCH01,22.99605,120.22808,LASS
CiXin001,24.682125,121.757706667,LASS
FT1_386,24.18119,120.683773333,LASS
LASS-PI_014,25.0805766667,121.57213,LASS
FT1_115,23.4571383333,120.441776667,LASS
FT1_966,24.1754233333,120.668735,LASS
FT1_384,24.1647833333,120.698918333,LASS
YK_160,22.9987166667,120.245576667,LASS
FT1_399,24.0632433333,120.534373333,LASS
FT1_395,24.1240866667,120.566786667,LASS
FT1_386,24.18108,120.683781667,LASS
LASS-PI_014,25.0806283333,121.572216667,LASS
FT1_116,23.4791983333,120.44893,LASS
FT1_966,24.1754533333,120.66885,LASS
FT1_115,23.4570833333,120.441691667,LASS
FT1_384,24.1647866667,120.6989,LASS
YK_160,22.9985366667,120.245693333,LASS
FT1_928,23.7673,120.706356667,LASS
FT1_LIVEEEFF,0,0,LASS
FT1_399,24.06395,120.533741667,LASS
FT1_CCH01,22.9961033333,120.227996667,LASS
CiXin001,24.6822233333,121.757783333,LASS
FT1_386,24.18099,120.683756667,LASS
FT1_116,23.4792033333,120.449036667,LASS
YK_160,22.9986266667,120.245653333,LASS
FT1_928,23.76733,120.706258333,LASS
FT1_399,24.0512833333,120.534183333,LASS
CiXin001,24.6823833333,121.757726667,LASS
FT1_386,24.1810683333,120.683741667,LASS
LASS-PI_014,25.08062,121.572116667,LASS
FT1_116,23.4793,120.449038333,LASS
FT1_115,23.45714,120.441775,LASS
FT_SYPS1,22.685655,120.491573333,LASS
FT1_CCH01,22.9961933333,120.22802,LASS
CiXin001,24.6821083333,121.757693333,LASS
FT1_116,23.4792033333,120.449055,LASS
FT1_115,23.45705,120.44181,LASS
FT1_005,23.8481366667,120.286306667,LASS
CiXin001,24.6821566667,121.757676667,LASS
FT1_386,24.1811666667,120.683731667,LASS
FT1_116,23.4791066667,120.449046667,LASS
FT_SYPS1,22.6855033333,120.491505,LASS
YK_160,22.9986116667,120.245606667,LASS
CiXin001,24.68214,121.757676667,LASS
FT1_115,23.45712,120.441743333,LASS
FT_SYPS1,22.6854066667,120.491546667,LASS
FT1_928,23.7673283333,120.706366667,LASS
FT1_024,25.106415,121.73262,LASS
FT1_005,23.8481016667,120.286401667,LASS
CiXin001,24.6820766667,121.757715,LASS
LASS-PI_014,25.080675,121.572203333,LASS
FT1_116,23.47906,120.449136667,LASS
FT1_384,24.1648783333,120.69894,LASS
FT_SYPS1,22.6853266667,120.491461667,LASS
YK_160,22.9987116667,120.245615,LASS
FT1_928,23.7673466667,120.706268333,LASS
FT1_024,25.1066216667,121.732586667,LASS
LASS-PI_014,25.0806166667,121.572118333,LASS
FT1_116,23.4790616667,120.449015,LASS
FT1_115,23.4570266667,120.441715,LASS
FT_SYPS1,22.6852416667,120.491543333,LASS
YK_160,22.9986733333,120.245521667,LASS
FT1_024,25.1064683333,121.73272,LASS
FT1_CCH01,22.9961133333,120.227993333,LASS
FT1_395,24.12406,120.566691667,LASS
FT1_116,23.479185,120.448918333,LASS
FT_SYPS1,22.6852316667,120.491533333,LASS
FT1_928,23.7673383333,120.706368333,LASS
FT1_024,25.1065633333,121.732533333,LASS
FT1_CCH01,22.9960283333,120.227951667,LASS
FT1_386,24.18105,120.68378,LASS
FT1_115,23.4571083333,120.441673333,LASS
FT1_384,24.1647883333,120.69895,LASS
YK_160,22.998755,120.245561667,LASS
FT1_928,23.7673083333,120.70627,LASS
FT1_024,25.1066316667,121.73255,LASS
FT1_CCH01,22.9960666667,120.22803,LASS
FT1_386,24.1809533333,120.683783333,LASS
FT1_115,23.4570183333,120.441645,LASS
FT_SYPS1,22.6852783333,120.491438333,LASS
FT1_024,25.1063883333,121.732591667,LASS
FT1_CCH01,22.9960833333,120.228015,LASS
FT1_116,23.479255,120.448981667,LASS
FT1_966,24.1756333333,120.666755,LASS
FT1_384,24.1648766667,120.698915,LASS
FT_SYPS1,22.685175,120.4914,LASS
